TEI	complex	pure
ab	complex	mixed
abbr	complex	mixed
abstract	complex	pure
accMat	complex	mixed
acquisition	complex	mixed
activity	complex	mixed
actor	complex	mixed
add	complex	mixed
addName	complex	mixed
addSpan	complex	pure
additional	complex	pure
additions	complex	mixed
addrLine	complex	mixed
address	complex	pure
adminInfo	complex	pure
affiliation	complex	mixed
age	complex	mixed
alt	complex	pure
altGrp	complex	pure
altIdent	complex	mixed
altIdentifier	complex	pure
alternate	complex	pure
am	complex	mixed
analytic	complex	pure
anchor	complex	pure
annotation	complex	pure
annotationBlock	complex	pure
anyElement	complex	pure
app	complex	pure
appInfo	complex	pure
application	complex	pure
arc	complex	pure
argument	complex	pure
att	complex	pure
attDef	complex	pure
attList	complex	pure
attRef	complex	pure
author	complex	mixed
authority	complex	mixed
availability	complex	pure
back	complex	pure
bibl	complex	mixed
biblFull	complex	pure
biblScope	complex	mixed
biblStruct	complex	pure
bicond	complex	pure
binary	complex	pure
binaryObject	complex	mixed
binding	complex	pure
bindingDesc	complex	pure
birth	complex	mixed
bloc	complex	mixed
body	complex	pure
broadcast	complex	pure
byline	complex	mixed
c	complex	mixed
cRefPattern	complex	pure
caesura	complex	pure
calendar	complex	pure
calendarDesc	complex	pure
camera	complex	mixed
caption	complex	mixed
case	complex	mixed
castGroup	complex	pure
castItem	complex	mixed
castList	complex	pure
catDesc	complex	mixed
catRef	complex	pure
catchwords	complex	mixed
category	complex	pure
cb	complex	pure
cell	complex	mixed
certainty	complex	pure
change	complex	mixed
channel	complex	mixed
char	complex	pure
charDecl	complex	pure
choice	complex	pure
cit	complex	pure
citeData	complex	pure
citeStructure	complex	pure
citedRange	complex	mixed
cl	complex	mixed
classCode	complex	mixed
classDecl	complex	pure
classRef	complex	pure
classSpec	complex	pure
classes	complex	pure
climate	complex	pure
closer	complex	mixed
code	complex	mixed
collation	complex	mixed
collection	complex	mixed
colloc	complex	mixed
colophon	complex	mixed
cond	complex	pure
condition	complex	mixed
constitution	complex	mixed
constraint	complex	mixed
constraintSpec	complex	pure
content	complex	pure
conversion	complex	pure
corr	complex	mixed
correction	complex	pure
correspAction	complex	pure
correspContext	complex	pure
correspDesc	complex	pure
country	complex	mixed
creation	complex	mixed
custEvent	complex	mixed
custodialHist	complex	pure
damage	complex	mixed
damageSpan	complex	pure
dataFacet	complex	pure
dataRef	complex	pure
dataSpec	complex	pure
datatype	complex	pure
date	complex	mixed
dateline	complex	mixed
death	complex	mixed
decoDesc	complex	pure
decoNote	complex	mixed
def	complex	mixed
default	complex	pure
defaultVal	complex	mixed
del	complex	mixed
delSpan	complex	pure
depth	complex	mixed
derivation	complex	mixed
desc	complex	mixed
dictScrap	complex	mixed
dim	complex	mixed
dimensions	complex	pure
distinct	complex	mixed
distributor	complex	mixed
district	complex	mixed
div	complex	pure
div1	complex	pure
div2	complex	pure
div3	complex	pure
div4	complex	pure
div5	complex	pure
div6	complex	pure
div7	complex	pure
divGen	complex	pure
docAuthor	complex	mixed
docDate	complex	mixed
docEdition	complex	mixed
docImprint	complex	mixed
docTitle	complex	pure
domain	complex	mixed
eLeaf	complex	pure
eTree	complex	pure
edition	complex	mixed
editionStmt	complex	pure
editor	complex	mixed
editorialDecl	complex	pure
education	complex	mixed
eg	complex	mixed
elementRef	complex	pure
elementSpec	complex	pure
ellipsis	complex	pure
email	complex	mixed
emph	complex	mixed
empty	complex	pure
encodingDesc	complex	pure
entry	complex	pure
entryFree	complex	mixed
epigraph	complex	pure
epilogue	complex	pure
equipment	complex	pure
equiv	complex	pure
etym	complex	mixed
event	complex	pure
ex	complex	mixed
exemplum	complex	pure
expan	complex	mixed
explicit	complex	mixed
extent	complex	mixed
f	complex	mixed
fDecl	complex	pure
fDescr	complex	mixed
fLib	complex	pure
facsimile	complex	pure
factuality	complex	mixed
faith	complex	mixed
figDesc	complex	mixed
figure	complex	pure
fileDesc	complex	pure
filiation	complex	mixed
finalRubric	complex	mixed
floatingText	complex	pure
floruit	complex	mixed
foliation	complex	mixed
foreign	complex	mixed
forename	complex	mixed
forest	complex	pure
form	complex	mixed
formula	complex	mixed
front	complex	pure
fs	complex	pure
fsConstraints	complex	pure
fsDecl	complex	pure
fsDescr	complex	mixed
fsdDecl	complex	pure
fsdLink	complex	pure
funder	complex	mixed
fvLib	complex	pure
fw	complex	mixed
g	complex	mixed
gap	complex	pure
gb	complex	pure
gen	complex	mixed
genName	complex	mixed
gender	complex	mixed
geo	complex	mixed
geoDecl	complex	mixed
geogFeat	complex	mixed
geogName	complex	mixed
gi	complex	pure
gloss	complex	mixed
glyph	complex	pure
gram	complex	mixed
gramGrp	complex	mixed
graph	complex	pure
graphic	complex	pure
group	complex	pure
handDesc	complex	pure
handNote	complex	mixed
handNotes	complex	pure
handShift	complex	pure
head	complex	mixed
headItem	complex	mixed
headLabel	complex	mixed
height	complex	mixed
heraldry	complex	mixed
hi	complex	mixed
history	complex	pure
hom	complex	pure
hyph	complex	mixed
hyphenation	complex	pure
iNode	complex	pure
iType	complex	mixed
ident	complex	mixed
idno	complex	mixed
if	complex	pure
iff	complex	pure
imprimatur	complex	mixed
imprint	complex	pure
incident	complex	pure
incipit	complex	mixed
index	complex	pure
institution	complex	mixed
interaction	complex	mixed
interp	complex	mixed
interpGrp	complex	pure
interpretation	complex	pure
item	complex	mixed
join	complex	pure
joinGrp	complex	pure
keywords	complex	pure
kinesic	complex	pure
l	complex	mixed
label	complex	mixed
lacunaEnd	complex	pure
lacunaStart	complex	pure
lang	complex	mixed
langKnowledge	complex	pure
langKnown	complex	mixed
langUsage	complex	pure
language	complex	mixed
layout	complex	mixed
layoutDesc	complex	pure
lb	complex	pure
lbl	complex	mixed
leaf	complex	pure
lem	complex	mixed
lg	complex	pure
licence	complex	mixed
line	complex	mixed
link	complex	pure
linkGrp	complex	pure
list	complex	pure
listAnnotation	complex	pure
listApp	complex	pure
listBibl	complex	pure
listChange	complex	pure
listEvent	complex	pure
listForest	complex	pure
listNym	complex	pure
listObject	complex	pure
listOrg	complex	pure
listPerson	complex	pure
listPlace	complex	pure
listPrefixDef	complex	pure
listRef	complex	pure
listRelation	complex	pure
listTranspose	complex	pure
listWit	complex	pure
localProp	complex	pure
locale	complex	mixed
location	complex	pure
locus	complex	mixed
locusGrp	complex	pure
