TEI	-----	pure
ab	-----	pure
abbr	-----	pure
abstract	-----	pure
accMat	-----	pure
acquisition	-----	pure
activity	complex	mixed
actor	complex	mixed
add	-----	pure
addName	complex	mixed
addSpan	complex	pure
additional	complex	pure
additions	complex	mixed
addrLine	-----	pure
address	-----	pure
adminInfo	complex	pure
affiliation	complex	mixed
age	complex	mixed
alt	complex	pure
altGrp	complex	pure
altIdent	complex	mixed
altIdentifier	-----	pure
alternate	complex	pure
am	complex	mixed
analytic	complex	pure
anchor	-----	pure
annotation	-----	pure
annotationBlock	complex	pure
anyElement	complex	pure
app	complex	pure
appInfo	complex	pure
application	complex	pure
arc	complex	pure
argument	-----	pure
att	complex	pure
attDef	complex	pure
attList	complex	pure
attRef	complex	pure
author	-----	pure
authority	-----	pure
availability	-----	pure
back	-----	pure
bibl	-----	pure
biblFull	-----	pure
biblScope	-----	pure
biblStruct	-----	pure
bicond	complex	pure
binary	complex	pure
binaryObject	complex	mixed
binding	complex	pure
bindingDesc	complex	pure
birth	complex	mixed
bloc	complex	mixed
body	-----	pure
broadcast	complex	pure
byline	-----	pure
c	-----	pure
cRefPattern	complex	pure
caesura	complex	pure
calendar	-----	pure
calendarDesc	-----	pure
camera	complex	mixed
caption	complex	mixed
case	complex	mixed
castGroup	complex	pure
castItem	complex	mixed
castList	complex	pure
catDesc	complex	mixed
catRef	complex	pure
catchwords	complex	mixed
category	complex	pure
cb	complex	pure
cell	-----	pure
certainty	complex	pure
change	-----	pure
channel	complex	mixed
char	-----	pure
charDecl	-----	pure
choice	-----	pure
cit	complex	pure
citeData	-----	pure
citeStructure	-----	pure
citedRange	-----	pure
cl	complex	mixed
classCode	complex	mixed
classDecl	complex	pure
classRef	complex	pure
classSpec	complex	pure
classes	complex	pure
climate	complex	pure
closer	-----	pure
code	complex	mixed
collation	complex	mixed
collection	complex	mixed
colloc	complex	mixed
colophon	complex	mixed
cond	complex	pure
condition	complex	mixed
constitution	complex	mixed
constraint	complex	mixed
constraintSpec	complex	pure
content	complex	pure
conversion	-----	pure
corr	-----	pure
correction	-----	pure
correspAction	-----	pure
correspContext	-----	pure
correspDesc	-----	pure
country	-----	pure
creation	-----	pure
custEvent	complex	mixed
custodialHist	complex	pure
damage	-----	pure
damageSpan	complex	pure
dataFacet	complex	pure
dataRef	complex	pure
dataSpec	complex	pure
datatype	complex	pure
date	-----	pure
dateline	-----	pure
death	complex	mixed
decoDesc	-----	pure
decoNote	-----	pure
def	complex	mixed
default	complex	pure
defaultVal	complex	mixed
del	-----	pure
delSpan	complex	pure
depth	complex	mixed
derivation	complex	mixed
desc	-----	pure
dictScrap	complex	mixed
dim	complex	mixed
