annotation	node
a00001720	17653
a00001721	17654
a00002305	17655
a00002267	17656
a00002268	17657
a00002269	17658
a00002270	17659
a00002271	17660
a00002272	17661
a00002273	17662
a00002274	17663
a00001511	17664
a00001512	17665
a00001513	17666
a00001514	17667
a00001515	17668
a00001516	17669
a00001027	17670
a00001028	17671
a00001029	17672
a00001030	17673
a00002306	17674
a00002307	17675
a00002308	17676
a00002309	17677
a00002310	17678
a00002311	17679
a00002312	17680
a00002313	17681
a00002314	17682
a00002315	17683
a00002316	17684
a00002317	17685
a00002318	17686
a00002319	17687
a00002320	17688
a00002321	17689
a00002322	17690
a00002323	17691
a00002324	17692
a00002325	17693
a00002326	17694
a00002327	17695
a00002328	17696
a00002329	17697
a00002330	17698
a00002331	17699
a00002332	17700
a00002333	17701
a00000789	17702
a00000790	17703
a00000791	17704
a00000792	17705
a00000793	17706
a00000794	17707
a00000795	17708
a00000796	17709
a00000797	17710
a00000798	17711
a00000067	17712
a00001647	17713
a00000815	17714
a00000816	17715
a00000817	17716
a00000818	17717
a00000819	17718
a00000820	17719
a00000821	17720
a00000822	17721
a00000823	17722
a00000824	17723
a00000825	17724
a00000826	17725
a00000827	17726
a00000828	17727
a00000829	17728
a00000830	17729
a00000831	17730
a00000832	17731
a00000833	17732
a00000834	17733
a00000835	17734
a00000836	17735
a00000837	17736
a00000838	17737
a00000839	17738
a00000840	17739
a00000841	17740
a00000842	17741
a00000843	17742
a00000844	17743
a00000845	17744
a00000846	17745
a00000847	17746
a00000848	17747
a00000849	17748
a00000850	17749
a00000851	17750
a00000852	17751
a00000853	17752
a00000854	17753
a00000855	17754
a00000856	17755
a00000857	17756
a00000858	17757
a00000859	17758
a00000860	17759
a00000861	17760
a00000862	17761
a00000863	17762
a00000864	17763
a00000865	17764
a00000866	17765
a00000867	17766
a00000868	17767
a00000869	17768
a00000870	17769
a00000871	17770
a00000872	17771
a00000873	17772
a00000874	17773
a00000875	17774
a00000876	17775
a00000877	17776
a00000878	17777
a00000879	17778
a00000880	17779
a00000881	17780
a00000882	17781
a00000883	17782
a00000884	17783
a00000885	17784
a00000886	17785
a00000887	17786
a00000888	17787
a00000889	17788
a00000890	17789
a00000891	17790
a00000892	17791
a00000893	17792
a00000894	17793
a00000895	17794
a00000896	17795
a00000897	17796
a00000898	17797
a00000899	17798
a00000900	17799
a00000901	17800
a00000902	17801
a00000903	17802
a00000904	17803
a00000905	17804
a00000906	17805
a00000907	17806
a00000908	17807
a00000909	17808
a00000910	17809
a00000911	17810
a00000912	17811
a00000913	17812
a00000914	17813
a00000915	17814
a00000916	17815
a00000917	17816
a00000918	17817
a00000919	17818
a00000920	17819
a00000921	17820
a00000922	17821
a00000923	17822
a00000002	17823
a00000035	17824
a00000036	17825
a00000037	17826
a00000038	17827
a00000039	17828
a00000040	17829
a00000041	17830
a00000042	17831
a00000043	17832
a00000044	17833
a00000045	17834
a00000046	17835
a00000047	17836
a00000048	17837
a00000049	17838
a00000050	17839
a00002018	17840
a00002019	17841
a00002020	17842
a00002021	17843
a00002022	17844
a00002023	17845
a00002024	17846
a00002025	17847
a00002026	17848
a00002027	17849
a00002028	17850
a00002029	17851
a00002030	17852
a00002031	17853
a00002032	17854
a00002033	17855
a00002034	17856
a00002035	17857
a00002036	17858
a00002037	17859
a00002038	17860
a00002039	17861
a00002040	17862
a00002041	17863
a00002042	17864
a00002043	17865
a00002044	17866
a00002045	17867
a00002046	17868
a00002047	17869
a00002048	17870
a00002049	17871
a00002050	17872
a00002051	17873
a00002052	17874
a00002053	17875
a00002054	17876
a00002055	17877
a00002056	17878
a00002057	17879
a00002058	17880
a00002059	17881
a00002060	17882
a00001256	17883
a00001257	17884
a00001258	17885
a00001259	17886
a00001260	17887
a00001261	17888
a00001262	17889
a00001263	17890
a00001264	17891
a00001265	17892
a00001266	17893
a00001267	17894
a00001268	17895
a00001269	17896
a00001270	17897
a00001271	17898
a00001272	17899
a00001273	17900
a00001274	17901
a00001275	17902
a00001276	17903
a00001277	17904
a00001278	17905
a00001279	17906
a00001280	17907
a00001281	17908
a00001282	17909
a00001283	17910
a00001284	17911
a00001285	17912
a00001286	17913
